All/076_Left Thigh Bend_Bend_N115_JCM,0,,Left Thigh Bend,-115,,,,,
All/077_Left Thigh Bend_Bend_N96_JCM,0,,Left Thigh Bend,-96,,,,,
All/078_Left Thigh Bend_Bend_N77_JCM,0,,Left Thigh Bend,-77,,,,,
All/079_Left Thigh Bend_Bend_N39_JCM,0,,Left Thigh Bend,-39,,,,,
All/080_Left Thigh Bend_Bend_N20_JCM,0,,Left Thigh Bend,-20,,,,,
All/081_Left Thigh Bend_Bend_N1_JCM,0,,Left Thigh Bend,-1,,,,,
All/082_Left Thigh Bend_Bend_17_JCM,0,,Left Thigh Bend,17,,,,,
All/083_Left Thigh Bend_Side_85_JCM,0,,Left Thigh Bend,,,85,,,
All/084_Left Thigh Bend_Side_72_JCM,0,,Left Thigh Bend,,,72,,,
All/085_Left Thigh Bend_Side_58_JCM,0,,Left Thigh Bend,,,58,,,
All/086_Left Thigh Bend_Side_44_JCM,0,,Left Thigh Bend,,,44,,,
All/087_Left Thigh Bend_Side_30_JCM,0,,Left Thigh Bend,,,30,,,
All/088_Left Thigh Bend_Side_16_JCM,0,,Left Thigh Bend,,,16,,,
All/089_Left Thigh Bend_Side_2_JCM,0,,Left Thigh Bend,,,2,,,
All/090_Left Thigh Bend_Side_N12,0,,Left Thigh Bend,,,-12,,,
All/091_Left Thigh Bend_Side_N26,0,,Left Thigh Bend,,,-26,,,
All/092_Left Thigh Twist_Twist_75,0,,Left Thigh Twist,,75,,,,
All/093_Left Thigh Twist_Twist_N75,0,,Left Thigh Twist,,-75,,,,
All/094_Left Shin_Bend_90_JCM,0,,Left Shin,90,,,,,
All/095_Left Shin_Bend_155_JCM,0,,Left Shin,155,,,,,
All/096_Left Shin_Bend_N11_JCM,0,,Left Shin,-11,,,,,
All/097_Left Shin_Bend_10_JCM,0,,Left Shin,10,,,,,
All/098_Left Shin_Bend_31_JCM,0,,Left Shin,31,,,,,
All/099_Left Shin_Bend_52_JCM,0,,Left Shin,52,,,,,
All/100_Left Shin_Bend_73_JCM,0,,Left Shin,73,,,,,
All/101_Left Shin_Bend_115_JCM,0,,Left Shin,115,,,,,
All/102_Left Shin_Bend_135_JCM,0,,Left Shin,135,,,,,
All/103_Left Shin_Twist_10,0,,Left Shin,,10,,,,
All/104_Left Shin_Twist_N25,0,,Left Shin,,-25,,,,
All/105_Left Shin_Side_5,0,,Left Shin,,,5,,,
All/106_Left Shin_Side_N5,0,,Left Shin,,,-5,,,
All/107_Left Foot_Bend_65_JCM,0,,Left Foot,65,,,,,
